total_revenue,operating_income,interest_expense_non_operating,pretax_income,income_taxes,net_income,diluted_shares_outstanding,date,symbol,ebit,ebitda,gross_income,total_assets,cash_only,total_liabilities,total_debt,total_equity,stockholders_equity,total_current_liabilities,cash_and_short_term_investments,total_cash_and_due_from_banks,total_non_current_assets,net_operating_cash_flow,free_cash_flow
38270000000.0,-49720000000.0,-774510000.0,-29760000000.0,2969999999.0,-26790000000.0,833440000.0,2021-12-31,CANI.JK,-49720000000,7330000000,-40820000000,350710000000.0,576320000.0,703860000000.0,36250000000.0,-353150000000.0,-353150000000.0,703180000000,576320000,,319910000000,-728740000.0,-728740000.0
43900000000.0,-50360000000.0,-459060000.0,-27580000000.0,-154340000.0,-27730000000.0,833440000.0,2022-12-31,CANI.JK,-50360000000,8870000000,-42350000000,297830000000.0,17120000000.0,689270000000.0,22350000000.0,-391430000000.0,-391430000000.0,688280000000,17120000000,,250890000000,-23200000000.0,-23220000000.0
54590000000.0,-53580000000.0,-19250000.0,-53350000000.0,-498600000.0,-53850000000.0,833440000.0,2023-12-31,CANI.JK,-53580000000,3290000000,-41600000000,219640000000.0,910480000.0,666880000000.0,0.0,-447240000000.0,-447240000000.0,665560000000,910480000,,196420000000,-3880000000.0,-3880000000.0
452120000000.0,-22960000000.0,-16230000000.0,-35200000000.0,7420000000.0,-27780000000.0,1330000000.0,2019-12-31,PURE.JK,-22960000000.0,-12600000000.0,-1830000000.0,834220000000.0,76250000000.0,669100000000.0,327110000000.0,165120000000.0,165120000000.0,644360000000.0,76250000000.0,,391800000000.0,-43890000000.0,-44640000000.0
136310000000.0,-59820000000.0,-20920000000.0,-113730000000.0,14980000000.0,-98750000000.0,1330000000.0,2020-12-31,PURE.JK,-59820000000.0,-47070000000.0,466210000.0,695030000000.0,1830000000.0,634150000000.0,322460000000.0,60880000000.0,60880000000.0,596640000000.0,1830000000.0,,478380000000.0,8189999999.0,7810000000.0
,,,,,,,2021-12-31,PURE.JK,,,,,,,,,,,,,,,
,,,,,,,2022-12-31,PURE.JK,,,,,,,,,,,,,,,
,,,,,,,2023-12-31,PURE.JK,,,,,,,,,,,,,,,
437990000000.0,30230000000.0,-10190000000.0,19570000000.0,-9980000000.0,9620000000.0,1359999999.0,2019-12-31,APLI.JK,30230000000,54580000000,73290000000,419260000000.0,10480000000.0,206520000000.0,75430000000.0,212740000000.0,212810000000.0,87960000000,11330000000,,295590000000,18520000000.0,-1580000000.0
325540000000.0,5530000000.0,-11010000000.0,-2069999999.0,-4350000000.0,-6410000000.0,1359999999.0,2020-12-31,APLI.JK,5530000000,32140000000,41040000000,406440000000.0,40710000000.0,200450000000.0,72030000000.0,205990000000.0,206070000000.0,86220000000,40710000000,,269700000000,38240000000.0,37740000000.0
