total_revenue,operating_income,interest_expense_non_operating,pretax_income,income_taxes,net_income,diluted_shares_outstanding,date,symbol,ebit,ebitda,gross_income,total_assets,cash_only,total_liabilities,total_debt,total_equity,stockholders_equity,total_current_liabilities,cash_and_short_term_investments,total_cash_and_due_from_banks,total_non_current_assets,net_operating_cash_flow,free_cash_flow
83350000000,6010000000,-1190000000.0,5270000000,0,5270000000,1080000000,2023-09-30,AMIN.JK,6010000000,6840000000,10170000000,355040000000.0,19080000000.0,186720000000.0,52100000000.0,168310000000.0,168310000000.0,174280000000,19080000000,,102390000000,-100790000,-928660000.0
106780000000,3300000000,-1050000000.0,1090000000,227190000,1320000000,1080000000,2023-12-31,AMIN.JK,3300000000,4179999999,11800000000,349830000000.0,8750000000.0,180750000000.0,56050000000.0,169090000000.0,169090000000.0,167930000000,8750000000,,102470000000,-14920000000,-13700000000.0
76240000000,5510000000,-1230000000.0,4760000000,0,4760000000,1080000000,2024-03-31,AMIN.JK,5510000000,6400000000,9360000000,343670000000.0,3950000000.0,169830000000.0,50950000000.0,173840000000.0,173840000000.0,156710000000,3950000000,,102470000000,996910000,109400000.0
17129999999,-309290000,-519210000.0,1350000000,-3490000000,-2150000000,10350000000,2022-12-31,PSKT.JK,-309290000,2130000000,9900000000,410700000000.0,11450000000.0,59830000000.0,16980000000.0,350870000000.0,350890000000.0,29870000000,11450000000,,394650000000,2690000000,384660000.0
13150000000,-2490000000,-482610000.0,-2890000000,68360000,-2820000000,10350000000,2023-03-31,PSKT.JK,-2490000000,-122820000,6170000000,406210000000.0,7790000000.0,58160000000.0,15890000000.0,348050000000.0,348070000000.0,28980000000,7790000000,,392580000000,-2330000000,-2580000000.0
13370000000,-1870000000,-450970000.0,-2210000000,68360000,-2150000000,10350000000,2023-06-30,PSKT.JK,-1870000000,505750000,6280000000,402040000000.0,6630000000.0,56140000000.0,14810000000.0,345900000000.0,345920000000.0,27750000000,6630000000,,390750000000,410080000,-5620000.0
13450000000,-2130000000,-420830000.0,-2480000000,12370000,-2469999999,10350000000,2023-09-30,PSKT.JK,-2130000000,247390000,6140000000,401540000000.0,8940000000.0,58110000000.0,13730000000.0,343430000000.0,343460000000.0,30750000000,8940000000,,389260000000,4280000000,3400000000.0
14370000000,-36800000,-398630000.0,178190000,-3400000000,-3220000000,10350000000,2023-12-31,PSKT.JK,-36800000,2390000000,7660000000,399900000000.0,6800000000.0,59750000000.0,12640000000.0,340150000000.0,340170000000.0,30080000000,6800000000,,388090000000,-333770000,-1060000000.0
10570000000,-4110000000,-357360000.0,-4260000000,65239999,-4200000000,10350000000,2024-03-31,PSKT.JK,-4110000000,-1660000000,3610000000,395600000000.0,5360000000.0,59650000000.0,11560000000.0,335950000000.0,335970000000.0,30780000000,5360000000,,386180000000,233580000,-350600000.0
13540000000,-1320000000,-394380000.0,-1640000000,65239999,-1580000000,10350000000,2024-06-30,PSKT.JK,-1320000000,1130000000,6370000000,394030000000.0,5540000000.0,59660000000.0,12440000000.0,334370000000.0,334390000000.0,31590000000,5540000000,,384090000000,-332580000,-655420000.0
17730000000,-3190000000,-11180000.0,-1990000000,-23830000,-2020000000,833440000,2023-03-31,CANI.JK,-3190000000,10960000000,-2730000000,276120000000.0,1200000000.0,678280000000.0,0.0,-402160000000.0,-402160000000.0,677240000000,1200000000,,242030000000,1120000000,1120000000.0
17100000000,-10190000000,-2820000.0,-11020000000,-56010000,-11080000000,833440000,2023-06-30,CANI.JK,-10190000000,4570000000,-4580000000,260990000000.0,2940000000.0,683240000000.0,0.0,-422250000000.0,-422250000000.0,682120000000,2940000000,,232910000000,-3220000000,-3220000000.0
9520000000,-11230000000,-2850000.0,-11890000000,0,-11890000000,833440000,2023-09-30,CANI.JK,-11230000000,3150000000,-9960000000,235310000000.0,2130000000.0,653730000000.0,0.0,-418420000000.0,-418420000000.0,652630000000,2130000000,,210170000000,-575190000,-575190000.0
10300000000,-28730000000,-2290000.0,-28240000000,-412220000,-28660000000,833440000,2023-12-31,CANI.JK,-28730000000,-15120000000,-24010000000,219640000000.0,910480000.0,666880000000.0,0.0,-447240000000.0,-447240000000.0,665560000000,910480000,,196420000000,-1210000000,-1210000000.0
14340000000,-7030000000,-5170000.0,-2730000000,-29220000,-2760000000,833440000,2024-03-31,CANI.JK,-7030000000,6930000000,-5580000000,221870000000.0,5040000000.0,685700000000.0,0.0,-463830000000.0,-463830000000.0,684320000000,5040000000,,190110000000,3870000000,3870000000.0
14730000000,-8109999999,-6480000.0,-8090000000,-69560000,-8160000000,833440000,2024-06-30,CANI.JK,-8109999999,6260000000,-8060000000,217030000000.0,6960000000.0,687170000000.0,0.0,-470140000000.0,-470140000000.0,685760000000,6960000000,,176980000000,2760000000,
7090000000,-14600000000,-5850000.0,-13490000000,-33620000,-13520000000,833440000,2024-09-30,CANI.JK,-14600000000,-152750000,-13940000000,201680000000.0,3960000000.0,699500000000.0,0.0,-497820000000.0,-497820000000.0,698030000000,3960000000,,169310000000,-3130000000,
,,,,,,,2022-09-30,PURE.JK,,,,,,,,,,,,,,,
,,,,,,,2022-12-31,PURE.JK,,,,,,,,,,,,,,,
,,,,,,,2023-03-31,PURE.JK,,,,,,,,,,,,,,,
,,,,,,,2023-06-30,PURE.JK,,,,,,,,,,,,,,,
,,,,,,,2023-09-30,PURE.JK,,,,,,,,,,,,,,,
,,,,,,,2023-12-31,PURE.JK,,,,,,,,,,,,,,,
,,,,,,,2024-03-31,PURE.JK,,,,,,,,,,,,,,,
132150000000,18320000000,-1120000000.0,19020000000,-2580000000,16440000000,1359999999,2022-12-31,APLI.JK,18320000000,25110000000,30470000000,468540000000.0,109070000000.0,189590000000.0,66670000000.0,278950000000.0,279050000000.0,124400000000,109070000000,,245530000000,32950000000,28700000000.0
129699999999,22380000000,-1150000000.0,22070000000,-5939999999,16129999999,1359999999,2023-03-31,APLI.JK,22380000000,29150000000,32240000000,481990000000.0,111010000000.0,186690000000.0,58830000000.0,295300000000.0,295400000000.0,121000000000,111010000000,,246070000000,14610000000,12430000000.0
102320000000,14070000000,-895740000.0,14480000000,-4130000000,10350000000,1359999999,2023-06-30,APLI.JK,14070000000,20740000000,24040000000,456570000000.0,87850000000.0,149600000000.0,41130000000.0,306970000000.0,307080000000.0,83450000000,87850000000,,251360000000,12560000000,-2270000000.0
117540000000,19800000000,-951830000.0,19880000000,-5280000000,14600000000,1359999999,2023-09-30,APLI.JK,19800000000,26470000000,29920000000,485730000000.0,104830000000.0,163630000000.0,40510000000.0,322100000000.0,322210000000.0,96900000000,104830000000,,254880000000,28330000000,20300000000.0
119570000000,10290000000,-989840000.0,10280000000,-953820000,9330000000,1359999999,2023-12-31,APLI.JK,10290000000,17430000000,26280000000,490510000000.0,125410000000.0,156660000000.0,48350000000.0,333850000000.0,333960000000.0,90790000000,125410000000,,258800000000,27980000000,16340000000.0
104470000000,9800000000,-569230000.0,10670000000,-3190000000,7480000000,1359999999,2024-03-31,APLI.JK,9800000000,17129999999,20010000000,500270000000.0,118810000000.0,156980000000.0,39210000000.0,343290000000.0,343400000000.0,90480000000,118810000000,,263589999999,6060000000,1850000000.0
